22:21:13 | INFO    | train_LSTM_baseline | epoch   6 | train_log_mse=0.177623 | val_mse_raw=0.00005331 | best=0.00005331
22:21:14 | INFO    | train_LSTM_baseline | epoch   7 | train_log_mse=0.161959 | val_mse_raw=0.00005363 | best=0.00005331
22:21:15 | INFO    | train_LSTM_baseline | epoch   8 | train_log_mse=0.150923 | val_mse_raw=0.00005225 | best=0.00005225
22:21:15 | INFO    | train_LSTM_baseline | epoch   9 | train_log_mse=0.137972 | val_mse_raw=0.00005212 | best=0.00005212
22:21:16 | INFO    | train_LSTM_baseline | epoch  10 | train_log_mse=0.128345 | val_mse_raw=0.00005047 | best=0.00005047
22:21:17 | INFO    | train_LSTM_baseline | epoch  11 | train_log_mse=0.119981 | val_mse_raw=0.00004924 | best=0.00004924
22:21:18 | INFO    | train_LSTM_baseline | epoch  12 | train_log_mse=0.115978 | val_mse_raw=0.00004930 | best=0.00004924
22:21:18 | INFO    | train_LSTM_baseline | epoch  13 | train_log_mse=0.111917 | val_mse_raw=0.00004915 | best=0.00004915
22:21:19 | INFO    | train_LSTM_baseline | epoch  14 | train_log_mse=0.108055 | val_mse_raw=0.00004875 | best=0.00004875
22:21:20 | INFO    | train_LSTM_baseline | epoch  15 | train_log_mse=0.102762 | val_mse_raw=0.00004804 | best=0.00004804
22:21:20 | INFO    | train_LSTM_baseline | epoch  16 | train_log_mse=0.104744 | val_mse_raw=0.00004948 | best=0.00004804
22:21:21 | INFO    | train_LSTM_baseline | epoch  17 | train_log_mse=0.099596 | val_mse_raw=0.00004842 | best=0.00004804
22:21:22 | INFO    | train_LSTM_baseline | epoch  18 | train_log_mse=0.098110 | val_mse_raw=0.00004816 | best=0.00004804
22:21:22 | INFO    | train_LSTM_baseline | epoch  19 | train_log_mse=0.096995 | val_mse_raw=0.00004931 | best=0.00004804
22:21:23 | INFO    | train_LSTM_baseline | epoch  20 | train_log_mse=0.098085 | val_mse_raw=0.00004761 | best=0.00004761
22:21:24 | INFO    | train_LSTM_baseline | epoch  21 | train_log_mse=0.095482 | val_mse_raw=0.00005073 | best=0.00004761
22:21:24 | INFO    | train_LSTM_baseline | epoch  22 | train_log_mse=0.094109 | val_mse_raw=0.00005016 | best=0.00004761
22:21:25 | INFO    | train_LSTM_baseline | epoch  23 | train_log_mse=0.093351 | val_mse_raw=0.00005087 | best=0.00004761
22:21:26 | INFO    | train_LSTM_baseline | epoch  24 | train_log_mse=0.092875 | val_mse_raw=0.00005021 | best=0.00004761
22:21:26 | INFO    | train_LSTM_baseline | epoch  25 | train_log_mse=0.094199 | val_mse_raw=0.00005079 | best=0.00004761
22:21:27 | INFO    | train_LSTM_baseline | epoch  26 | train_log_mse=0.090817 | val_mse_raw=0.00005055 | best=0.00004761
22:21:28 | INFO    | train_LSTM_baseline | epoch  27 | train_log_mse=0.093111 | val_mse_raw=0.00005153 | best=0.00004761
22:21:28 | INFO    | train_LSTM_baseline | epoch  28 | train_log_mse=0.089476 | val_mse_raw=0.00005124 | best=0.00004761
22:21:29 | INFO    | train_LSTM_baseline | epoch  29 | train_log_mse=0.088278 | val_mse_raw=0.00005119 | best=0.00004761
22:21:30 | INFO    | train_LSTM_baseline | epoch  30 | train_log_mse=0.088186 | val_mse_raw=0.00005116 | best=0.00004761
22:21:30 | INFO    | train_LSTM_baseline | Early stopping at epoch 30
22:21:33 | INFO    | train_LSTM_baseline | epoch   1 | train_log_mse=0.876809 | val_mse_raw=0.00006173 | best=0.00006173
22:21:37 | INFO    | train_LSTM_baseline | epoch   2 | train_log_mse=0.148241 | val_mse_raw=0.00004335 | best=0.00004335
22:21:41 | INFO    | train_LSTM_baseline | epoch   3 | train_log_mse=0.120116 | val_mse_raw=0.00004241 | best=0.00004241
22:21:44 | INFO    | train_LSTM_baseline | epoch   4 | train_log_mse=0.109927 | val_mse_raw=0.00004511 | best=0.00004241
22:21:47 | INFO    | train_LSTM_baseline | epoch   5 | train_log_mse=0.109323 | val_mse_raw=0.00605782 | best=0.00004241
22:21:51 | INFO    | train_LSTM_baseline | epoch   6 | train_log_mse=0.141403 | val_mse_raw=0.00004587 | best=0.00004241
22:21:54 | INFO    | train_LSTM_baseline | epoch   7 | train_log_mse=0.124800 | val_mse_raw=0.00004747 | best=0.00004241
22:21:58 | INFO    | train_LSTM_baseline | epoch   8 | train_log_mse=0.121888 | val_mse_raw=0.00005311 | best=0.00004241
22:22:01 | INFO    | train_LSTM_baseline | epoch   9 | train_log_mse=0.117697 | val_mse_raw=0.00004243 | best=0.00004241
22:22:05 | INFO    | train_LSTM_baseline | epoch  10 | train_log_mse=0.145372 | val_mse_raw=0.00004998 | best=0.00004241
22:22:08 | INFO    | train_LSTM_baseline | epoch  11 | train_log_mse=0.124767 | val_mse_raw=0.00005345 | best=0.00004241
22:22:12 | INFO    | train_LSTM_baseline | epoch  12 | train_log_mse=0.121700 | val_mse_raw=0.00005148 | best=0.00004241
22:22:15 | INFO    | train_LSTM_baseline | epoch  13 | train_log_mse=0.114910 | val_mse_raw=0.00004636 | best=0.00004241
22:22:15 | INFO    | train_LSTM_baseline | Early stopping at epoch 13
22:22:17 | INFO    | train_LSTM_baseline | epoch   1 | train_log_mse=11.733863 | val_mse_raw=0.00007181 | best=0.00007181
22:22:18 | INFO    | train_LSTM_baseline | epoch   2 | train_log_mse=0.233046 | val_mse_raw=0.00005747 | best=0.00005747
22:22:19 | INFO    | train_LSTM_baseline | epoch   3 | train_log_mse=0.166298 | val_mse_raw=0.00005364 | best=0.00005364
22:22:21 | INFO    | train_LSTM_baseline | epoch   4 | train_log_mse=0.139404 | val_mse_raw=0.00005094 | best=0.00005094
22:22:22 | INFO    | train_LSTM_baseline | epoch   5 | train_log_mse=0.127939 | val_mse_raw=0.00004944 | best=0.00004944
22:22:23 | INFO    | train_LSTM_baseline | epoch   6 | train_log_mse=0.122519 | val_mse_raw=0.00004788 | best=0.00004788
22:22:24 | INFO    | train_LSTM_baseline | epoch   7 | train_log_mse=0.118787 | val_mse_raw=0.00004817 | best=0.00004788
22:22:26 | INFO    | train_LSTM_baseline | epoch   8 | train_log_mse=0.115366 | val_mse_raw=0.00004651 | best=0.00004651
22:22:27 | INFO    | train_LSTM_baseline | epoch   9 | train_log_mse=0.113067 | val_mse_raw=0.00004650 | best=0.00004650
22:22:28 | INFO    | train_LSTM_baseline | epoch  10 | train_log_mse=0.113541 | val_mse_raw=0.00004514 | best=0.00004514
22:22:29 | INFO    | train_LSTM_baseline | epoch  11 | train_log_mse=0.108807 | val_mse_raw=0.00004486 | best=0.00004486
22:22:31 | INFO    | train_LSTM_baseline | epoch  12 | train_log_mse=0.106144 | val_mse_raw=0.00004359 | best=0.00004359
22:22:32 | INFO    | train_LSTM_baseline | epoch  13 | train_log_mse=0.104782 | val_mse_raw=0.00004268 | best=0.00004268
22:22:33 | INFO    | train_LSTM_baseline | epoch  14 | train_log_mse=0.105057 | val_mse_raw=0.00004231 | best=0.00004231
22:22:35 | INFO    | train_LSTM_baseline | epoch  15 | train_log_mse=0.104026 | val_mse_raw=0.00004169 | best=0.00004169
22:22:36 | INFO    | train_LSTM_baseline | epoch  16 | train_log_mse=0.103102 | val_mse_raw=0.00004220 | best=0.00004169
22:22:37 | INFO    | train_LSTM_baseline | epoch  17 | train_log_mse=0.101802 | val_mse_raw=0.00004240 | best=0.00004169
22:22:38 | INFO    | train_LSTM_baseline | epoch  18 | train_log_mse=0.103523 | val_mse_raw=0.00004235 | best=0.00004169
22:22:40 | INFO    | train_LSTM_baseline | epoch  19 | train_log_mse=0.100657 | val_mse_raw=0.00004154 | best=0.00004154
22:22:41 | INFO    | train_LSTM_baseline | epoch  20 | train_log_mse=0.100326 | val_mse_raw=0.00004186 | best=0.00004154
22:22:42 | INFO    | train_LSTM_baseline | epoch  21 | train_log_mse=0.099433 | val_mse_raw=0.00004261 | best=0.00004154
22:22:43 | INFO    | train_LSTM_baseline | epoch  22 | train_log_mse=0.098935 | val_mse_raw=0.00004180 | best=0.00004154
22:22:45 | INFO    | train_LSTM_baseline | epoch  23 | train_log_mse=0.099476 | val_mse_raw=0.00004097 | best=0.00004097
22:22:46 | INFO    | train_LSTM_baseline | epoch  24 | train_log_mse=0.097401 | val_mse_raw=0.00004228 | best=0.00004097
22:22:47 | INFO    | train_LSTM_baseline | epoch  25 | train_log_mse=0.098267 | val_mse_raw=0.00004281 | best=0.00004097
22:22:49 | INFO    | train_LSTM_baseline | epoch  26 | train_log_mse=0.098560 | val_mse_raw=0.00004188 | best=0.00004097
22:22:50 | INFO    | train_LSTM_baseline | epoch  27 | train_log_mse=0.097266 | val_mse_raw=0.00004212 | best=0.00004097
22:22:51 | INFO    | train_LSTM_baseline | epoch  28 | train_log_mse=0.096934 | val_mse_raw=0.00004323 | best=0.00004097
22:22:52 | INFO    | train_LSTM_baseline | epoch  29 | train_log_mse=0.096362 | val_mse_raw=0.00004421 | best=0.00004097
22:22:54 | INFO    | train_LSTM_baseline | epoch  30 | train_log_mse=0.094878 | val_mse_raw=0.00004260 | best=0.00004097
22:22:55 | INFO    | train_LSTM_baseline | epoch  31 | train_log_mse=0.094526 | val_mse_raw=0.00004595 | best=0.00004097
22:22:56 | INFO    | train_LSTM_baseline | epoch  32 | train_log_mse=0.097255 | val_mse_raw=0.00003978 | best=0.00003978
22:22:57 | INFO    | train_LSTM_baseline | epoch  33 | train_log_mse=0.094079 | val_mse_raw=0.00004340 | best=0.00003978
22:22:59 | INFO    | train_LSTM_baseline | epoch  34 | train_log_mse=0.095475 | val_mse_raw=0.00004150 | best=0.00003978
22:23:00 | INFO    | train_LSTM_baseline | epoch  35 | train_log_mse=0.092098 | val_mse_raw=0.00004254 | best=0.00003978
22:23:01 | INFO    | train_LSTM_baseline | epoch  36 | train_log_mse=0.090855 | val_mse_raw=0.00004416 | best=0.00003978
22:23:03 | INFO    | train_LSTM_baseline | epoch  37 | train_log_mse=0.090572 | val_mse_raw=0.00004308 | best=0.00003978
22:23:04 | INFO    | train_LSTM_baseline | epoch  38 | train_log_mse=0.089843 | val_mse_raw=0.00004279 | best=0.00003978
22:23:05 | INFO    | train_LSTM_baseline | epoch  39 | train_log_mse=0.089176 | val_mse_raw=0.00004555 | best=0.00003978
22:23:06 | INFO    | train_LSTM_baseline | epoch  40 | train_log_mse=0.090007 | val_mse_raw=0.00004437 | best=0.00003978
22:23:06 | INFO    | train_LSTM_baseline | epoch   1 | train_log_mse=21.646094 | val_mse_raw=0.64050269 | best=0.64050269
22:23:07 | INFO    | train_LSTM_baseline | epoch   2 | train_log_mse=20.676096 | val_mse_raw=0.46345246 | best=0.46345246
22:23:07 | INFO    | train_LSTM_baseline | epoch   3 | train_log_mse=18.656511 | val_mse_raw=0.18511945 | best=0.18511945
22:23:07 | INFO    | train_LSTM_baseline | epoch   4 | train_log_mse=12.974331 | val_mse_raw=0.03615643 | best=0.03615643
22:23:07 | INFO    | train_LSTM_baseline | epoch   5 | train_log_mse=6.494638 | val_mse_raw=0.00451791 | best=0.00451791
22:23:07 | INFO    | train_LSTM_baseline | epoch   6 | train_log_mse=2.711471 | val_mse_raw=0.00056620 | best=0.00056620
22:23:08 | INFO    | train_LSTM_baseline | epoch   7 | train_log_mse=1.137396 | val_mse_raw=0.00014749 | best=0.00014749
22:23:08 | INFO    | train_LSTM_baseline | epoch   8 | train_log_mse=0.549652 | val_mse_raw=0.00007438 | best=0.00007438
22:23:08 | INFO    | train_LSTM_baseline | epoch   9 | train_log_mse=0.322164 | val_mse_raw=0.00005642 | best=0.00005642
22:23:08 | INFO    | train_LSTM_baseline | epoch  10 | train_log_mse=0.230909 | val_mse_raw=0.00005139 | best=0.00005139
22:23:08 | INFO    | train_LSTM_baseline | epoch  11 | train_log_mse=0.192504 | val_mse_raw=0.00005061 | best=0.00005061
22:23:08 | INFO    | train_LSTM_baseline | epoch  12 | train_log_mse=0.174574 | val_mse_raw=0.00005161 | best=0.00005061
22:23:09 | INFO    | train_LSTM_baseline | epoch  13 | train_log_mse=0.165276 | val_mse_raw=0.00005243 | best=0.00005061
22:23:09 | INFO    | train_LSTM_baseline | epoch  14 | train_log_mse=0.160025 | val_mse_raw=0.00005269 | best=0.00005061
22:23:09 | INFO    | train_LSTM_baseline | epoch  15 | train_log_mse=0.156235 | val_mse_raw=0.00005189 | best=0.00005061
22:23:09 | INFO    | train_LSTM_baseline | epoch  16 | train_log_mse=0.153112 | val_mse_raw=0.00005072 | best=0.00005061
22:23:09 | INFO    | train_LSTM_baseline | epoch  17 | train_log_mse=0.150030 | val_mse_raw=0.00004958 | best=0.00004958
22:23:10 | INFO    | train_LSTM_baseline | epoch  18 | train_log_mse=0.146924 | val_mse_raw=0.00004820 | best=0.00004820
22:23:10 | INFO    | train_LSTM_baseline | epoch  19 | train_log_mse=0.143591 | val_mse_raw=0.00004683 | best=0.00004683
22:23:10 | INFO    | train_LSTM_baseline | epoch  20 | train_log_mse=0.139971 | val_mse_raw=0.00004592 | best=0.00004592
22:23:10 | INFO    | train_LSTM_baseline | epoch  21 | train_log_mse=0.136355 | val_mse_raw=0.00004492 | best=0.00004492
22:23:10 | INFO    | train_LSTM_baseline | epoch  22 | train_log_mse=0.132781 | val_mse_raw=0.00004394 | best=0.00004394
22:23:11 | INFO    | train_LSTM_baseline | epoch  23 | train_log_mse=0.129187 | val_mse_raw=0.00004323 | best=0.00004323
