22:30:36 | INFO    | train_LSTM_baseline | epoch   6 | train_log_mse=0.271863 | val_mse_raw=0.00006291 | best=0.00006291
22:30:36 | INFO    | train_LSTM_baseline | epoch   7 | train_log_mse=0.254036 | val_mse_raw=0.00006195 | best=0.00006195
22:30:37 | INFO    | train_LSTM_baseline | epoch   8 | train_log_mse=0.236241 | val_mse_raw=0.00005894 | best=0.00005894
22:30:37 | INFO    | train_LSTM_baseline | epoch   9 | train_log_mse=0.201990 | val_mse_raw=0.00005596 | best=0.00005596
22:30:38 | INFO    | train_LSTM_baseline | epoch  10 | train_log_mse=0.174627 | val_mse_raw=0.00005438 | best=0.00005438
22:30:38 | INFO    | train_LSTM_baseline | epoch  11 | train_log_mse=0.156097 | val_mse_raw=0.00005117 | best=0.00005117
22:30:39 | INFO    | train_LSTM_baseline | epoch  12 | train_log_mse=0.141884 | val_mse_raw=0.00005022 | best=0.00005022
22:30:39 | INFO    | train_LSTM_baseline | epoch  13 | train_log_mse=0.130287 | val_mse_raw=0.00004803 | best=0.00004803
22:30:40 | INFO    | train_LSTM_baseline | epoch  14 | train_log_mse=0.126781 | val_mse_raw=0.00004676 | best=0.00004676
22:30:40 | INFO    | train_LSTM_baseline | epoch  15 | train_log_mse=0.123403 | val_mse_raw=0.00004673 | best=0.00004673
22:30:41 | INFO    | train_LSTM_baseline | epoch  16 | train_log_mse=0.122854 | val_mse_raw=0.00004622 | best=0.00004622
22:30:41 | INFO    | train_LSTM_baseline | epoch  17 | train_log_mse=0.120866 | val_mse_raw=0.00004522 | best=0.00004522
22:30:42 | INFO    | train_LSTM_baseline | epoch  18 | train_log_mse=0.118622 | val_mse_raw=0.00004560 | best=0.00004522
22:30:42 | INFO    | train_LSTM_baseline | epoch  19 | train_log_mse=0.117051 | val_mse_raw=0.00004450 | best=0.00004450
22:30:43 | INFO    | train_LSTM_baseline | epoch  20 | train_log_mse=0.115803 | val_mse_raw=0.00004433 | best=0.00004433
22:30:43 | INFO    | train_LSTM_baseline | epoch  21 | train_log_mse=0.114726 | val_mse_raw=0.00004415 | best=0.00004415
22:30:44 | INFO    | train_LSTM_baseline | epoch  22 | train_log_mse=0.114418 | val_mse_raw=0.00004345 | best=0.00004345
22:30:44 | INFO    | train_LSTM_baseline | epoch  23 | train_log_mse=0.113782 | val_mse_raw=0.00004401 | best=0.00004345
22:30:45 | INFO    | train_LSTM_baseline | epoch  24 | train_log_mse=0.110550 | val_mse_raw=0.00004276 | best=0.00004276
22:30:45 | INFO    | train_LSTM_baseline | epoch  25 | train_log_mse=0.109803 | val_mse_raw=0.00004277 | best=0.00004276
22:30:46 | INFO    | train_LSTM_baseline | epoch  26 | train_log_mse=0.108304 | val_mse_raw=0.00004331 | best=0.00004276
22:30:46 | INFO    | train_LSTM_baseline | epoch  27 | train_log_mse=0.107710 | val_mse_raw=0.00004249 | best=0.00004249
