label,model_class,n_mix,lambda,p_stay_state0,p_stay_state1,avg_dur_state0_days,avg_dur_state1_days,train_LL,val_LL,penalised_LL,test_pct_volatile_above_0.5,test_p_vol_autocorr_lag1,test_p_vol_flips_about_0.5,volatile_state_index
GMMHMM(mix=2) lambda=3000 (CURRENT pipeline),GMMHMM,2,3000.0,0.5318664143497804,0.45129755677054373,2.136142397497583,1.8224814056128054,27608.792588081833,9503.832986063011,24558.284501442806,45.0371370695476,-0.0015474806363413255,734,1
GMMHMM(mix=2) lambda=10000,GMMHMM,2,10000.0,0.5326969436370818,0.4642654160383292,2.139938924823503,1.866595941231125,27094.660583355242,9134.197021787651,17064.284180109353,45.23970290344362,-5.5436821384193364e-05,734,1
GMMHMM(mix=2) lambda=30000,GMMHMM,2,30000.0,0.8506236357800974,0.9965973106146424,6.694499529576593,293.8851851430185,22382.95127437547,6456.1045904812945,17799.579666217665,100.0,0.09055728255917361,0,1
GMMHMM(mix=2) lambda=100000,GMMHMM,2,100000.0,0.9936700201263098,0.7565619685316933,157.97838539050923,4.107821583868627,3081.2614442427634,910.3350403587584,-21895.539689956928,95.20594193112761,0.805192438288503,32,0
GMMHMM(mix=2) lambda=300000,GMMHMM,2,300000.0,0.9053121820630428,0.9940413531837863,10.561020644343033,167.82333822487337,21825.04499072832,6203.965605471902,-8368.89443522297,100.0,0.23654416353486504,0,1
GaussianHMM lambda=3000 (PROPOSED FIX),GaussianHMM,1,3000.0,0.9894572752791158,0.9786158283854944,94.85213988553497,46.7635603579644,-32057.536656499957,-8188.667761060985,-32153.317345506126,32.883187035786634,0.9730951758288369,31,1
